dt,Daily PL,WinningDays,LosingDays,Total BP,NetBetaDelta,DoDNetBeta,BetaIncreaseDays,BetaDecreaseDays,NetDelta,GrossDelta,SPX return,SPXUpDays,SPXDownDays,VIX return,VIXUpDays,VIXDownDays,VIX Last_PX,SPX Last_PX,FirmBeta,DoD FirmBeta,BAS TLT US Equity,BAS TLT DoD,BAS TLT Up Streak,BAS TLT Down Streak,BAS IEF US Equity,BAS IEF DoD,BAS IEF Up Streak,BAS IEF Down Streak,BAS SPX Index,BAS SPX DoD,BAS SPX Up Streak,BAS SPX Down Streak,VIX PC VOL RATIO,VIX PC VOL RATIO DoD,VIX PC VOL RATIO Up Streak,VIX PC VOL RATIO Down Streak,VIX PUT OI,VIX PUT VOL,VIX PUT VOL/OI,VIX CALL OI,VIX CALL VOL,VIX CALL VOL/OI,VIX LAST ON 5dMAVG m1,VIX LAST ON 10dMAVG m1,SPX LAST ON 5dMAVG m1,SPX LAST ON 10dMAVG m1,SPX OtO Returns,VIX OtO Returns,SPX OtC Returns,VIX OtC Returns,SPX INDX_ADV_NUM,SPX INDX_DECL_NUM,SPX MOV_AVG_30D,SPX MOV_AVG_200D,SPX MOV_AVG_5D,SPX MOV_AVG_20D,SPX NUM_MEMB_MACD_GT_BASE_LINE_0,SPX NUM_MEMB_SIGNAL_GT_BASE_LINE_0,SPX PCT_MEMB_MACD_GT_BASE_LINE_0,SPX PCT_MEMB_SIGNAL_GT_BASE_LINE_0,SPX NUM_MEMB_MACD_BUY_SIGNAL_LST_10D,SPX NUM_MEMB_MACD_SL_SIGNAL_LST_10D,SPX PCT_MEM_MACD_BUY_SIGNAL_LST_10D,SPX PCT_MEM_MACD_SL_SIGNAL_LST_10D,SPX NUM_MEMB_WITH_14D_RSI_GT_70,SPX NUM_MEMB_WITH_14D_RSI_LT_30,SPX NUM_MEMB_14D_RSI_BETWEEN_30_&_70,SPX PCT_MEMB_WITH_14D_RSI_GT_70,SPX PCT_MEMB_WITH_14D_RSI_LT_30,SPX PCT_MEMB_14D_RSI_BETWEEN_30_&_70,IVE PX_LAST,MTUM  PX_LAST,GLD PX_VOLUME,GLD MOVING_AVG_20D,GLD BAS,SPY RSI_9D,SPY RSI_14D,SPX H-L,VIX H-L,SPX Term Spread,NDX_Last,NDX OtO Returns,NDX OtC Returns,NDX OI PUTS,NDX VOLUME PUTS,NDX PUTS VOL ON OI,NDX OI CALLS,NDX VOLUME CALLS,NDX CALLS VOL ON OI,NDX H-L,UKX_Last,UKX OtO Returns,UKX OtC Returns,UKX OI PUTS,UKX VOLUME PUTS,UKX PUTS VOL ON OI,UKX OI CALLS,UKX VOLUME CALLS,UKX CALLS VOL ON OI,UKX H-L,HSI_Last,HSI OtO Returns,HSI OtC Returns,HSI OI PUTS,HSI VOLUME PUTS,HSI PUTS VOL ON OI,HSI OI CALLS,HSI VOLUME CALLS,HSI CALLS VOL ON OI,HSI H-L,MXWD_Last,MXWD OtO Returns,MXWD OtC Returns,MXWD H-L,NFP_T_Last,INJCJC Index LAST,INJCSP Index LAST,SX5E_Last,SX5E OtO Returns,SX5E OtC Returns,SX5E OI PUTS,SX5E VOLUME PUTS,SX5E PUTS VOL ON OI,SX5E OI CALLS,SX5E VOLUME CALLS,SX5E CALLS VOL ON OI,SX5E H-L,SPX OI PUTS,SPX VOLUME PUTS,SPX PUTS VOL ON OI,SPX OI CALLS,SPX VOLUME CALLS,SPX CALLS VOL ON OI,WeekDay,MonthDay,Quarter,SPX OPEN,SPX HIGH,SPX LOW,INDU_Last,INDU OtO Returns,INDU OtC Returns,INDU OPEN,INDU HIGH,INDU LOW
1/2/2018,1363574,1,0,233500000,74542430,74542430,1,0,64376446,193179930,0.0100000000,1,0,-0.1200000000,0,1,9.77,2696,1.16,,0.0000796840,,,,0.0000950250,,,, 0.0200000000 ,,,,0.3000000000,,,,2090526,296162,0.1400000000,8070778,484662,0.0600514597,-0.0600000000,-0.0300000000,0.0000000000,0.0000000000,0.0052613340,-0.0039800995,0.0045011980,-0.1077625571,341, 160 ,2648,2484,2684,2667,378,383,75,76,24,137,5,27,62,8,430,12,2,85,114.83,103.94,11762515,120.4285,0.0001598465,54.9912,62.5,13.53,1.55,-3.8597,6511.34,0.0137508765,0.0123997332,66868,7558,0.113028653,25646,4986,0.194416283,95.27,7648.1,-0.0051601440,-0.0051601440,1191637,37021,0.031067347,692628,21214,0.030628274,67.2,30515.31,0.0209948685,0.0162187058,1191637,27445,0.023031343,692628,19284,0.027841785,487.02,516.76,0.0073879142,0.0073294347,4.04,147551,242,1882,3490.19,-0.0038785113,-0.0046513618,96957,508527,0.031067347,71921,381659,0.030628274,39.14,8957860,808192,0.090221548,4073317,377070,0.092570748,3,2,1,2683.73,2695.89,2682.36,24824.01,0.0016566335,0.0005909063,24809.35,24864.19,24741.7
1/3/2018,455177,2,0,233500000,52951912,-21590518,0,1,48403089,201043529,0.0100000000,2,0,-0.0600000000,0,2,9.15,2713,1.09,-0.060344828,0.0000793300,-0.0044425050,0,,0.0000949350,-0.0009493520,0,, 0.0200000000 ,0.0000000000,0,,0.6300000000,1.1000000000,,0,2256645,395886,0.1800000000,8194551,469120,0.0572477980,-0.1000000000,-0.0900000000,0.0100000000,0.0100000000,0.0079544823,-0.0079920080,0.0056378227,-0.0428870293,340, 162 ,2653,2485,2691,2671,384,383,76,76,26,122,5,24,84,9,408,17,2,81,115.3,104.98,7904326,120.6105,0.0000801186,75.8621,66.6667,16.6,0.71,-3.8762,6575.8,0.0116134435,0.0085536416,73426,14751,0.20089614,26449,5026,0.190026088,59.99,7671.11,0.0030085904,0.0030085904,1199683,18864,0.015724154,696061,11214,0.016110657,49.33,30560.95,0.0010757132,-0.0031893037,1199683,19673,0.016398499,696061,19226,0.027621142,267.56,519.15,0.0044118501,0.0045666518,2.54,147551,242,1882,3509.88,0.0079990839,0.0048612900,18638060,572939,0.015724154,10951560,383155,0.016110657,30.82,9093315,847425,0.093192087,4155771,677056,0.162919468,4,3,1,2697.85,2714.37,2697.77,24922.68,0.0046039408,0.0029065872,24850.45,24941.92,24825.55
1/4/2018,643216,3,0,233500000,55921577,2969665,1,0,50382927,203760957,0.0000000000,0,1,0.0100000000,1,0,9.22,2724,1.11,0.018348624,0.0000793490,0.0002380480,1,0,0.0000949890,0.0005699360,1,0, 0.0200000000 ,0.0000000000,0,,0.8100000000,0.2857142860,,0,2376859,231471,0.1000000000,8523750,487162,0.0571534829,-0.0700000000,-0.0700000000,0.0100000000,0.0100000000,0.0044202390,-0.0050352467,0.0017210248,0.0233074362,326, 176 ,2657,2487,2699,2675,391,388,77,77,27,114,5,23,99,17,385,20,3,76,115.92,105.86,7329718,120.8675,0.0000797035,81.0298,69.9507,10.22,0.39,-3.7762,6584.58,0.0026350301,-0.0016935148,78520,11629,0.148102394,28096,5154,0.183442483,26.25,7695.88,0.0032289982,0.0032289982,1206455,17224,0.014276537,703012,24980,0.035532822,31.4,30736.48,0.0065864691,0.0014587001,1206455,20030,0.01660236,703012,16423,0.02336091,236.5,523.26,0.0081491899,0.0080721290,4.93,147551,242,1882,3568.88,0.0141074289,0.0136444712,18638060,740721,0.014276537,10951560,633486,0.035532822,59.63,9305808,796086,0.08554722,4407522,738281,0.167504779,5,4,1,2719.31,2729.29,2719.07,25075.13,0.0060108488,0.0044170085,24964.86,25105.96,24963.27
1/5/2018,469276,4,0,233500000,62651256,6729679,2,0,57786752,209035974,0.0100000000,1,0,0.0000000000,0,1,9.22,2743,1.08,-0.027027027,0.0000795510,0.0025456430,2,0,0.0000951160,0.0013316210,2,0, 0.0200000000 ,0.0000000000,0,,0.4000000000,-0.5061728400,0,1,2411212,112045,0.0500000000,8799907,579512,0.0658543323,-0.0500000000,-0.0700000000,0.0100000000,0.0200000000,0.0041518235,-0.0010121457,0.0043275620,0.0131868132,361, 143 ,2662,2489,2710,2681,403,393,80,78,25,92,5,18,121,17,363,24,3,72,116.27,106.71,5739904,121.1305,0.0001595914,83.7963,80.0775,15.53,0.54,-3.7832,6653.29,0.0058293123,0.0060727674,66857,9978,0.149243909,25661,5640,0.219788785,49.95,7724.22,0.0036824899,0.0036824899,1219115,36607,0.03002752,718881,29443,0.040956709,37.92,30814.64,0.0000398137,-0.0025642636,1219115,18749,0.015379189,718881,16513,0.022970422,272.48,526.69,0.0067074336,0.0064781196,3.54,147551,251,1919,3607.63,0.0113317145,0.0103962739,18638060,666571,0.03002752,10951560,656764,0.040956709,38.19,9777472,1049245,0.107312504,4441834,594905,0.13393229,6,5,1,2731.33,2743.45,2727.92,25295.87,0.0077037872,0.0072048806,25114.92,25299.79,25112.01
1/8/2018,140550,5,0,233500000,59620567,-3030689,0,1,57110320,214226008,0.0000000000,0,1,0.0300000000,1,0,9.52,2748,1.04,-0.037037037,0.0000796150,0.0007961470,3,0,0.0000951520,0.0003806080,3,0, 0.0200000000 ,0.0000000000,0,,0.0900000000,-0.7750000000,0,2,2415311,104727,0.0400000000,9825711,1213877,0.1235408817,0.0100000000,-0.0400000000,0.0100000000,0.0200000000,0.0030918776,0.0020263425,0.0018376254,-0.0093652445,336, 164 ,2667,2491,2725,2687,407,393,81,78,30,89,6,18,133,5,363,26,1,72,116.45,107.01,3566707,121.4715,0.0000798116,85.3363,79.5219,10.91,0.57,-3.8054,6676.63,0.0061924206,0.0037509321,70041,8237,0.117602547,26986,4228,0.156673831,31.12,7696.51,-0.0035874172,-0.0035874172,1223865,9533,0.007789258,727884,15854,0.021780943,41.62,30899.53,0.0012435633,0.0001437122,1223865,15811,0.012918909,727884,11603,0.015940727,196.61,527.29,0.0005504831,0.0009111444,1.23,147551,251,1919,3616.45,0.0018028397,0.0015175978,18638060,421102,0.007789258,10951560,343077,0.021780943,15.92,9534475,794979,0.08337942,4512931,530700,0.117595416,2,8,1,2742.67,2748.51,2737.6,25283,0.0001442209,-0.0010036194,25308.4,25311.99,25235.41
1/9/2018,214118,6,0,233500000,37763326,-21857241,0,2,36005048,247211066,0.0000000000,0,2,0.0600000000,2,0,10.08,2751,1.05,0.009615385,0.0000806940,0.0135565870,4,0,0.0000955980,0.0046842890,4,0, 0.0200000000 ,0.0000000000,0,,0.2200000000,1.4444444440,1,0,2421078,678136,0.2800000000,9692405,475896,0.0490998880,0.0700000000,0.0200000000,0.0100000000,0.0200000000,-0.0020355124,-0.0040444894,0.0000508878,0.0712008502,245, 259 ,2672,2493,2736,2692,408,398,81,79,30,71,6,14,138,11,353,27,2,70,116.62,107.41,9153584,121.784,0.0000801892,89.2209,77.6132,11.28,0.72,-3.6955,6677.94,-0.0077993447,-0.0022307321,77145,14255,0.184781904,27386,2778,0.101438691,37.85,7731.02,0.0044838505,0.0044838505,1239419,33725,0.02721033,736967,18983,0.025758277,36.62,31011.41,0.0024481541,0.0025183046,1239419,23015,0.018569184,736967,15153,0.020561301,204.27,528.02,0.0016695124,0.0017453994,1.67,147551,251,1919,3622.87,0.0006634453,0.0014899875,19299110,568255,0.02721033,11293760,373768,0.025758277,15.57,9730577,764309,0.078547141,4651744,540662,0.116227806,3,9,1,2751.15,2759.14,2747.86,25385.8,0.0014254081,0.0029136320,25312.05,25439.78,25308.41
1/10/2018,478600,7,0,233500000,57187613,19424287,1,0,53234409,238445009,0.0000000000,0,3,-0.0300000000,0,1,9.82,2748,1.07,0.019047619,0.0000807790,0.0010501230,5,0,0.0000956250,0.0002868750,5,0, 0.0200000000 ,0.0000000000,0,,0.3100000000,0.4090909090,2,0,2513661,185528,0.0700000000,9681042,2196016,0.2268367393,0.0300000000,0.0000000000,0.0000000000,0.0100000000,0.0027025550,-0.0060913706,0.0009761250,-0.0286844708,196, 309 ,2677,2495,2743,2696,408,400,81,79,26,72,5,14,123,26,354,24,5,70,116.61,107.3,14809303,122.135,0.0000799776,85.1967,81.9687,14.74,1.03,-3.7005,6662.66,0.0052735643,0.0033114129,84345,13919,0.165024601,28969,4329,0.149435604,44.16,7748.51,0.0022623147,0.0022623147,1269657,40596,0.03197399,751197,31519,0.041958368,39.9,31073.72,0.0018371943,0.0020793802,1269657,27109,0.021351436,751197,17777,0.023664897,338.99,527.73,-0.0011174666,-0.0004735028,2.29,147551,251,1919,3609.83,-0.0016271258,-0.0027763351,19532470,769484,0.03197399,11374850,302497,0.041958368,26.21,10079590,796183,0.078989622,4749323,383512,0.080750878,4,10,1,2745.55,2750.8,2736.06,25369.13,0.0019910739,0.0008284635,25348.13,25404.92,25256.99
1/11/2018,254965,8,0,233500000,74077663,16890050,2,0,68773438,254626522,0.0100000000,1,0,0.0100000000,1,0,9.88,2768,1.08,0.009345794,0.0000804600,-0.0039425510,0,1,0.0000955610,-0.0006689280,0,1, 0.0200000000 ,0.0000000000,0,,0.2200000000,-0.2903225810,0,1,2612878,270443,0.1000000000,10332870,828013,0.0801338834,0.0200000000,0.0100000000,0.0100000000,0.0200000000,0.0062514303,0.0000000000,0.0052997308,0.0196078431,380, 121 ,2682,2497,2752,2701,411,405,81,80,19,60,4,12,161,23,320,32,5,63,117.63,108.03,5994730,122.4995,0.0000797162,87.1287,85.7031,14.78,0.4,-3.7457,6708.49,0.0035397090,0.0049133498,93236,16259,0.174385431,31434,6091,0.193771076,43.75,7762.94,0.0018622935,0.0018622935,1286446,31791,0.024712269,753177,18923,0.02512424,34.32,31120.39,0.0074627706,0.0017440171,1286446,23686,0.018411966,753177,11579,0.015373544,183.11,529.74,0.0047782476,0.0044559055,3.31,147551,251,1919,3595.24,-0.0046486017,-0.0051881715,19618590,669259,0.024712269,11430330,323629,0.02512424,29.68,10264160,831224,0.080983149,4975444,760648,0.152880426,5,11,1,2752.97,2767.56,2752.78,25574.73,0.0094410716,0.0069346342,25398.6,25575.42,25396.19
1/12/2018,592931,9,0,233500000,71988033,-2089630,0,1,67718199,234817527,0.0100000000,2,0,0.0300000000,2,0,10.16,2786,1.06,-0.018518519,0.0000802990,-0.0020074680,0,2,0.0000956340,0.0007650740,1,0, 0.0200000000 ,0.0000000000,0,,0.2800000000,0.2727272730,1,0,2612878,270443,0.1000000000,10890330,978595,0.0898590768,0.0300000000,0.0400000000,0.0100000000,0.0200000000,0.0000000000,0.0000000000,0.0057974572,0.0431211499,356, 146 ,2687,2500,2760,2707,409,409,81,81,18,44,4,9,193,28,283,38,6,56,118.32,109.06,9258570,122.889,0.0000787495,96.4706,86.9814,18.21,0.77,-3.4601,6758.54,0.0162001517,0.0088397031,73765,14471,0.196177049,28252,4030,0.142644769,68.46,7778.64,0.0007986665,0.0020224296,1292957,25734,0.019903214,758152,25258,0.033315219,39.93,31412.54,0.0040120710,0.0036580554,1292957,27462,0.021239685,758152,19350,0.025522586,214.18,533.23,0.0097941160,0.0062652148,4.25,147551,229,1911,3612.61,0.0044228968,0.0042866793,19726320,715527,0.019903214,11508150,391740,0.033315219,18.82,10769230,1110699,0.103136343,4973748,828803,0.166635503,6,12,1,2770.18,2787.85,2769.64,25803.19,0.0136213701,0.0064278607,25638.39,25810.43,25633.08
1/16/2018,404679,10,0,233500000,22500961,-49487072,0,2,21835719,232543073,0.0000000000,0,1,0.1500000000,3,0,11.66,2776,1.03,-0.028301887,0.0000799840,-0.0039192160,0,3,0.0000955890,-0.0004779430,0,1, 0.0200000000 ,0.0000000000,0,,0.3500000000,0.2500000000,2,0,1738809,244402,0.1400000000,11384390,1426173,0.1252744328,0.1300000000,0.1800000000,0.0000000000,0.0100000000,-0.0049911396,0.0213197970,-0.0080529911,0.1190019194,156, 348 ,2691,2502,2766,2714,408,406,81,80,15,53,3,11,120,29,355,24,6,70,117.81,108.82,8083895,123.301,0.0001573193,87.4771,81.8304,38.9,2.01,-3.1097,6737.14,-0.0058755701,-0.0103865391,84163,19905,0.236505353,33341,9708,0.29117303,116.68,7755.93,-0.0017003169,-0.0017003169,1309066,29938,0.022869741,761398,32816,0.043099667,51.28,31904.75,0.0127897422,0.0153110940,1309066,39847,0.03043926,761398,40242,0.052852779,481.13,534.41,-0.0008596524,-0.0012894786,3.66,147551,229,1911,3622.01,-0.0000027677,0.0024660264,20006530,514434,0.022869741,11643430,401772,0.043099667,27.49,10611070,1167282,0.11000606,5185246,914019,0.176273025,3,16,1,2798.96,2807.54,2768.64,25792.86,-0.0029567925,-0.0074943377,25987.62,26086.12,25702.99
