Date,Open,High,Low,Close,Volume 
2014-04-20,506.02,522.22,488.69,498.51,7684
2014-04-21,498.51,524.67,490.66,495.16,7351
2014-04-22,495.16,520.51,483.39,487.91,5681
2014-04-23,487.91,509.96,482.25,487.3,4743
2014-04-24,487.3,507.33,477.22,500.29,4227
2014-04-25,500.29,502.49,438.33,464.49,6445
2014-04-26,464.49,468.68,448.57,457.87,6894
2014-04-27,457.87,461.4,437.39,443.18,6960
2014-04-28,443.18,451.12,420.78,441.92,4543
2014-04-29,441.92,453.78,430.71,446.12,3721
2014-04-30,446.12,452.64,430.89,445.63,4084
2014-05-01,445.63,464.49,444.51,460.13,4198
2014-05-02,460.13,463.38,442,453.67,3377
2014-05-03,453.67,454.2,429.09,438.65,2576
2014-05-04,438.65,446.61,428.79,436.05,3373
2014-05-05,436.05,443.86,426.37,430.87,3042
2014-05-06,430.87,434.95,420.23,432.19,4184
2014-05-07,432.19,458.78,423.55,446.55,5031
2014-05-08,446.55,455.5,439.5,441.11,2543
2014-05-09,441.11,455.78,438.5,445.45,2266
2014-05-10,445.45,459.46,441.43,451.9,446
2014-05-11,451.9,455.4,429.02,433.23,1890
2014-05-12,433.23,441.07,430.19,438.21,1386
2014-05-13,438.21,442.27,432.74,433.92,2651
2014-05-14,433.92,444.28,433.88,442.63,2200
2014-05-15,442.63,450.03,441.47,448.1,2169
2014-05-16,448.1,455.15,441.86,453.63,1758
2014-05-17,453.63,455.94,452.23,452.79,1704
2014-05-18,452.79,454,449.04,450.14,1449
2014-05-19,450.14,451.69,441.2,443.9,1351
2014-05-20,443.9,486.23,437.25,484.57,1899
2014-05-21,484.57,495.21,481.73,488.84,1394
2014-05-22,488.84,519.25,485.55,515.36,3124
2014-05-23,515.36,540.88,515.18,518.09,2763
2014-05-24,518.09,526.65,510.42,520.46,2857
2014-05-25,520.46,575.19,520.53,570.44,1873
2014-05-26,570.44,586.41,564.65,582.01,2958
2014-05-27,582.01,586.22,555.28,570.1,3353
2014-05-28,570.1,581.81,562.56,570.84,3569
2014-05-29,570.84,573.83,557.7,564.42,3734
2014-05-30,564.42,613.26,564.02,612.35,6205
2014-05-31,612.35,629.04,604.73,627.91,4409
2014-06-01,627.91,674.98,621.95,649.79,3552
2014-06-02,649.79,662.63,625.46,655.49,4134
2014-06-03,655.49,676.47,631.42,669.43,4360
2014-06-04,669.43,669.78,602.1,638.93,5597
2014-06-05,638.93,665.39,635.59,660.18,2761
2014-06-06,660.18,663.84,647.12,650.41,6035
2014-06-07,650.41,659.77,641.02,651.67,1968
2014-06-08,651.67,658.88,648.67,651.05,3313
2014-06-09,651.05,652.12,639.08,644.35,3258
2014-06-10,644.35,661.44,641.68,655.62,3558
2014-06-11,655.62,663.04,642.28,642.95,3800
2014-06-12,642.95,643.8,591.12,597.13,4586
2014-06-13,597.13,619.14,594.87,610.35,7545
2014-06-14,610.35,613.77,563.68,583.42,4999
2014-06-15,583.42,587.83,560.85,582.29,3942
2014-06-16,582.29,606.14,580.45,599.08,3991
2014-06-17,599.08,608.43,594.86,605.09,2999
2014-06-18,605.09,614.4,603.61,606.21,3312
2014-06-19,606.21,612.58,598.67,600.17,5601
2014-06-20,600.17,602.05,587.1,590.75,2153
2014-06-21,590.75,599.21,584.82,597.04,2282
2014-06-22,597.04,610.08,591.99,603.62,2036
2014-06-23,603.62,604.65,582.86,591.17,2652
2014-06-24,591.17,595.65,585.41,588.77,3077
2014-06-25,588.77,589.56,566.88,568.45,3090
2014-06-26,568.45,582.71,565.85,582.7,4147
2014-06-27,582.7,603.94,580.14,602.23,3388
2014-06-28,602.23,608.76,593.97,597.56,2938
2014-06-29,597.56,604.28,593.19,601.06,2892
2014-06-30,601.06,637.28,596.55,635.14,3832
2014-07-01,635.14,652.54,634.09,643.19,4106
2014-07-02,643.19,652.1,604.58,645.72,4784
2014-07-03,645.72,646.4,633.58,638.03,4010
2014-07-04,638.03,642.22,623.04,623.96,3601
2014-07-05,623.96,627.8,619.69,622.96,3247
2014-07-06,622.96,629.44,622.65,626.65,2700
2014-07-07,626.65,627.93,607.32,613.6,2529
2014-07-08,613.6,619.65,609.35,615.32,3206
2014-07-09,615.32,623.82,610.53,623,3066
2014-07-10,623,624.95,611.66,618.39,3604
2014-07-11,618.39,633.62,616.11,632.9,3124
2014-07-12,632.9,638.59,625.9,635.9,3433
2014-07-13,635.9,638.64,627.54,628.03,1703
2014-07-14,628.03,628.99,616.06,618.32,2553
2014-07-15,618.32,624.42,617.3,619.6,3693
2014-07-16,619.6,622.36,614.15,614.8,2997
2014-07-17,614.8,632.55,610.01,626.58,2922
2014-07-18,626.58,630.15,617.92,627.47,3344
2014-07-19,627.47,634.14,625.14,627.04,3961
2014-07-20,627.04,627.93,619.96,620.98,2302
2014-07-21,620.98,625.93,615.02,625.13,2534
2014-07-22,625.13,628.81,620,622.53,3277
2014-07-23,622.53,624.99,621,621.69,2170
2014-07-24,621.69,621.96,599.38,601.87,4740
2014-07-25,601.87,609.06,597.4,600.5,5919
2014-07-26,600.5,602.98,593.25,596,3478
2014-07-27,596,601.49,593.69,595.03,3530
2014-07-28,595.03,597.49,578.14,587.93,2331
2014-07-29,587.93,591.28,579.53,585.77,6719
2014-07-30,585.77,586.13,564.18,564.64,4103
2014-07-31,564.64,593.73,564.01,589.52,3523
2014-08-01,589.52,603.99,586.43,598.78,8925
2014-08-02,598.78,598.91,587.42,591.72,2122
2014-08-03,591.72,592.06,580.62,588.94,1263
2014-08-04,588.94,595.09,586.49,592.77,3415
2014-08-05,592.77,594.25,585.44,588.76,4085
2014-08-06,588.76,593.79,587.2,589.77,3009
2014-08-07,589.77,595.08,587.92,592.8,2504
2014-08-08,592.8,608.2,592.08,595.85,3105
2014-08-09,595.85,595.56,587.41,589.52,1418
2014-08-10,589.52,596.64,588.06,592.06,1337
2014-08-11,592.06,593.62,571.72,575.89,2569
2014-08-12,575.89,578.29,561.98,567.66,3325
2014-08-13,567.66,573.51,523.15,542.1,4818
2014-08-14,542.1,544.94,495.94,504.8,10880
2014-08-15,504.8,515.24,483.21,496.45,4767
2014-08-16,496.45,524.25,483.24,522.01,3870
2014-08-17,522.01,524.71,478.22,485.5,3143
2014-08-18,485.5,493.26,449.95,462.18,6378
2014-08-19,462.18,487.05,455.8,485.12,5120
2014-08-20,485.12,521.84,468.51,516.78,5886
2014-08-21,516.78,537.17,511.36,517.94,5645
2014-08-22,517.94,524.44,500.57,516.1,6026
2014-08-23,516.1,516.82,493.98,497.68,3130
2014-08-24,497.68,514.82,496.81,509.71,2533
2014-08-25,509.71,511.33,499.71,502.93,2737
2014-08-26,502.93,516.04,501.81,512.56,3530
2014-08-27,512.56,527.37,512.66,515.23,3785
2014-08-28,515.23,521.59,503.34,510.75,4465
2014-08-29,510.75,515.18,506.69,512.56,3641
2014-08-30,512.56,512.91,503.12,505.96,2631
2014-08-31,505.96,508.34,478.31,481.78,6094
2014-09-01,481.78,487.47,471.78,477.19,6785
2014-09-02,477.19,486.99,470.54,478.94,6751
2014-09-03,478.94,487.29,476.82,480.04,6140
2014-09-04,480.04,498.47,476.26,490.99,8807
2014-09-05,490.99,495.02,483.07,483.65,6038
2014-09-06,483.65,491.38,480.79,484.47,3791
2014-09-07,484.47,490.72,478.49,485.75,3562
2014-09-08,485.75,487.02,469.5,475.69,8140
2014-09-09,475.69,478.6,467.52,474.9,7289
2014-09-10,474.9,491.04,471.57,479.7,8292
2014-09-11,479.7,488.92,474.57,478.49,6289
2014-09-12,478.49,479.71,471.14,477.73,5145
2014-09-13,477.73,480.64,474.64,478.17,5274
2014-09-14,478.17,480.33,471.96,477.74,4205
2014-09-15,477.74,479.28,473.7,477.71,5629
2014-09-16,477.71,478.81,463.95,466.75,6522
2014-09-17,466.75,469.39,458.27,461.09,7504
2014-09-18,461.09,462.26,408.77,424.26,8924
2014-09-19,424.26,429.17,386.1,397.67,14968
2014-09-20,397.67,427.69,387.5,411.53,14289
2014-09-21,411.53,415.07,394.52,401.62,10421
2014-09-22,401.62,410.75,398.6,404.09,13514
2014-09-23,404.09,445.51,394.75,436.86,17940
2014-09-24,436.86,439.19,422.1,423.77,21365
2014-09-25,423.77,427.55,409.56,412.29,14627
2014-09-26,412.29,416.42,399.7,404.46,12115
2014-09-27,404.46,407.07,394.69,399.02,9735
2014-09-28,399.02,402.27,374.12,379.08,13937
2014-09-29,379.08,389.26,372.63,376.77,20684
2014-09-30,376.77,395.18,374.73,388.17,16921
2014-10-01,388.17,395.13,381.11,382.84,17730
2014-10-02,382.84,385.59,371.2,375.14,14300
2014-10-03,375.14,378.22,362.81,363.45,16807
2014-10-04,363.45,369.88,327.1,335.32,23035
2014-10-05,335.32,344.25,294.92,322.86,29851
2014-10-06,322.86,347.94,303.05,331.55,41171
2014-10-07,331.55,345.51,321.74,331.65,30173
2014-10-08,331.65,351.64,325.43,350.87,21769
2014-10-09,350.87,384.61,347.57,360.91,35591
